Time	UE Id	DistanceX	DistanceY
18.8	2	-167.767	-34.8818
18.9	0	-104.729	-42.0211
18.9	1	-142.118	-30.6411
18.9	2	-167.612	-34.5614
19	0	-104.907	-41.7969
19	1	-142.129	-30.8788
19	2	-167.509	-34.1815
19.1	0	-104.798	-41.4411
19.1	1	-142.14	-31.1165
19.1	2	-167.406	-33.8017
19.2	0	-104.689	-41.0852
19.2	1	-142.233	-31.1659
19.2	2	-167.562	-33.5055
19.3	0	-104.666	-40.9021
19.3	1	-142.43	-30.9751
19.3	2	-167.782	-33.2299
19.4	0	-104.81	-41.0577
19.4	1	-142.627	-30.7843
19.4	2	-168.002	-32.9543
19.5	0	-104.955	-41.2133
19.5	1	-142.823	-30.5935
19.5	2	-168.106	-33.3077
19.6	0	-105.099	-41.3689
19.6	1	-142.955	-30.7152
19.6	2	-168.207	-33.6823
19.7	0	-105.244	-41.5245
19.7	1	-143.071	-30.9199
19.7	2	-168.229	-33.84
19.8	0	-105.513	-41.5159
19.8	1	-143.186	-31.1245
19.8	2	-168.126	-33.6568
19.9	0	-105.856	-41.4094
19.9	1	-143.301	-31.3291
19.9	2	-168.024	-33.4736
20	0	-106.2	-41.3029
20	1	-143.464	-31.4235
20	2	-167.922	-33.2904
20.1	0	-106.497	-41.2541
20.1	1	-143.67	-31.4204
20.1	2	-167.82	-33.1071
20.2	0	-106.786	-41.2158
20.2	1	-143.876	-31.4173
20.2	2	-167.837	-32.9188
20.3	0	-107.075	-41.1775
20.3	1	-144.082	-31.4142
20.3	2	-167.925	-32.7275
20.4	0	-107.391	-41.2084
20.4	1	-144.288	-31.4111
20.4	2	-168.014	-32.5361
20.5	0	-107.743	-41.3363
20.5	1	-144.366	-31.2409
20.5	2	-168.103	-32.3447
20.6	0	-108.095	-41.4642
20.6	1	-144.382	-30.9904
20.6	2	-168.191	-32.1533
20.7	0	-108.026	-41.3517
20.7	1	-144.399	-30.7398
20.7	2	-167.938	-32.0246
20.8	0	-107.814	-41.1578
20.8	1	-144.415	-30.4892
20.8	2	-167.637	-31.9044
20.9	0	-107.603	-40.9638
20.9	1	-144.249	-30.2641
20.9	2	-167.337	-31.7843
21	0	-107.388	-40.7461
21	1	-144.002	-30.0503
21	2	-166.967	-31.7815
21.1	0	-107.162	-40.4613
21.1	1	-143.755	-29.8365
21.1	2	-166.577	-31.8104
21.2	0	-106.937	-40.1766
21.2	1	-143.692	-29.9008
21.2	2	-166.248	-31.7805
21.3	0	-106.704	-39.8759
21.3	1	-143.736	-30.1268
21.3	2	-166.122	-31.551
21.4	0	-106.463	-39.5597
21.4	1	-143.78	-30.3527
21.4	2	-165.997	-31.3216
21.5	0	-106.221	-39.2436
21.5	1	-143.825	-30.5787
21.5	2	-165.871	-31.0922
21.6	0	-105.907	-39.0233
21.6	1	-143.953	-30.8013
21.6	2	-165.774	-30.8303
21.7	0	-105.592	-38.8036
21.7	1	-144.288	-31.0158
21.7	2	-165.718	-30.5204
21.8	0	-105.258	-38.6498
21.8	1	-144.624	-31.2302
21.8	2	-165.662	-30.2104
21.9	0	-104.894	-38.5994
21.9	1	-144.624	-31.42
21.9	2	-165.689	-29.9348
22	0	-104.53	-38.5489
22	1	-144.528	-31.6027
22	2	-165.995	-29.7753
22.1	0	-104.53	-38.7027
22.1	1	-144.432	-31.7854
22.1	2	-166.301	-29.6157
22.2	0	-104.711	-38.9586
22.2	1	-144.336	-31.9681
22.2	2	-166.395	-29.5122
22.3	0	-104.892	-39.2145
22.3	1	-144.24	-32.1508
22.3	2	-166.06	-29.5224
22.4	0	-104.937	-39.4714
22.4	1	-144.066	-32.0416
22.4	2	-165.725	-29.5327
22.5	0	-104.834	-39.7293
22.5	1	-143.887	-31.9108
22.5	2	-165.56	-29.452
22.6	0	-104.732	-39.9873
22.6	1	-143.707	-31.78
22.6	2	-165.717	-29.1994
22.7	0	-104.629	-40.2452
22.7	1	-143.527	-31.6492
22.7	2	-165.874	-28.9468
22.8	0	-104.755	-40.0418
22.8	1	-143.449	-31.7403
22.8	2	-166.03	-28.6942
22.9	0	-104.913	-39.7729
22.9	1	-143.503	-32.1201
22.9	2	-165.714	-28.5255
23	0	-105.072	-39.5039
23	1	-143.557	-32.4999
23	2	-165.389	-28.3585
23.1	0	-105.022	-39.5247
23.1	1	-143.279	-32.5048
23.1	2	-165.198	-28.1885
23.2	0	-104.872	-39.6867
23.2	1	-142.931	-32.432
23.2	2	-165.421	-28.0094
23.3	0	-104.722	-39.8487
23.3	1	-142.587	-32.3641
23.3	2	-165.644	-27.8304
23.4	0	-104.572	-40.0107
23.4	1	-142.526	-32.6646
23.4	2	-165.867	-27.6513
23.5	0	-104.449	-40.0966
23.5	1	-142.465	-32.9651
23.5	2	-165.984	-27.3885
23.6	0	-104.486	-39.7396
23.6	1	-142.404	-33.2655
23.6	2	-166.066	-27.0973
23.7	0	-104.523	-39.3827
23.7	1	-142.559	-33.3216
23.7	2	-166.148	-26.8061
23.8	0	-104.459	-39.0721
23.8	1	-142.786	-33.2972
23.8	2	-166.134	-26.8005
23.9	0	-104.215	-38.8438
23.9	1	-143.013	-33.2728
23.9	2	-165.998	-27.1579
24	0	-103.971	-38.6156
24	1	-143.24	-33.2484
24	2	-165.862	-27.5153
24.1	0	-103.795	-38.549
24.1	1	-143.471	-33.1142
24.1	2	-165.595	-27.7719
